Experiment;IP Stack;Inv Clients;Val Clients;PPSV;PPSI;Length of Experiment;Ban limit;Ban length;;Packets dropped;Packets passed;CPU (via top);Log messages exchanged;Messages received by udp_server;Packets not reaching udp_server;;Best case drop rate;Actual drop rate;;Type;
file_IPv4v6_10m_131068_2;IPv4v6;131068;254;50000;10000000;300;3;30;;2920249697;94743486;0:20.72;19351042;5990764;75392444;;99,868932;97,34165657;0;file;'IPv4v6/file/file_IPv4v6_10m_131068_2.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
file_IPv4v6_20m_131068_1;IPv4v6;131068;254;50000;20000000;300;3;30;;5713499647;242342691;0:31.51;19345126;7233255;222997565;;99,934466;95,22499412;0;file;'IPv4v6/file/file_IPv4v6_20m_131068_1.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
file_IPv4v6_20m_131068_2;IPv4v6;131068;254;50000;20000000;300;3;30;;5719892619;237072359;0:30.17;19190856;6922700;217881503;;99,934466;95,33154365;0;file;'IPv4v6/file/file_IPv4v6_20m_131068_2.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
file_IPv4v6_30m_131068_1;IPv4v6;131068;254;50000;30000000;300;3;30;;8622361270;238524088;0:46.82;17737578;6824780;220786510;;99,95631067;95,80401411;0;file;'IPv4v6/file/file_IPv4v6_30m_131068_1.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
file_IPv4v6_30m_131068_2;IPv4v6;131068;254;50000;30000000;300;3;30;;8511481433;286151763;0:47.15;17688790;7065133;268462973;;99,95631067;94,57201592;0;file;'IPv4v6/file/file_IPv4v6_30m_131068_2.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
shm_IPv4v6_100k_131068_1;IPv4v6;131068;254;50000;100000;300;3;30;;26461164;18538838;0:10.90;18538838;3538836;0;;86,8932;88,20388;0;shm;'IPv4v6/shm/shm_IPv4v6_100k_131068_1.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
shm_IPv4v6_100k_131068_2;IPv4v6;131068;254;50000;100000;300;3;30;;26461164;18538838;0:10.49;18538838;3538836;0;;86,8932;88,20388;0;shm;'IPv4v6/shm/shm_IPv4v6_100k_131068_2.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
shm_IPv4v6_1m_131068_1;IPv4v6;131068;254;50000;1000000;300;3;30;;295315991;19684011;0:16.27;19451100;4462789;232911;;98,68932;98,43866367;0;shm;'IPv4v6/shm/shm_IPv4v6_1m_131068_1.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
shm_IPv4v6_1m_131068_2;IPv4v6;131068;254;50000;1000000;300;3;30;;295244698;19755304;0:17.14;19473901;4487827;281403;;98,68932;98,41489933;0;shm;'IPv4v6/shm/shm_IPv4v6_1m_131068_2.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
shm_IPv4v6_10m_131068_1;IPv4v6;131068;254;50000;10000000;300;3;30;;2971221914;42079048;0:31.13;22936701;8156918;19142347;;99,868932;99,04073047;0;shm;'IPv4v6/shm/shm_IPv4v6_10m_131068_1.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
shm_IPv4v6_10m_131068_2;IPv4v6;131068;254;50000;10000000;300;3;30;;2973166926;40417745;0:30.49;23372867;8584016;17044878;;99,868932;99,1055642;0;shm;'IPv4v6/shm/shm_IPv4v6_10m_131068_2.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
shm_IPv4v6_20m_131068_1;IPv4v6;131068;254;50000;20000000;300;3;30;;5914913021;80717577;0:47.74;24435757;9917099;56281820;;99,934466;98,58188368;0;shm;'IPv4v6/shm/shm_IPv4v6_20m_131068_1.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
shm_IPv4v6_20m_131068_2;IPv4v6;131068;254;50000;20000000;300;3;30;;5919966056;77080990;0:48.47;24522263;10030099;52558727;;99,934466;98,66610093;0;shm;'IPv4v6/shm/shm_IPv4v6_20m_131068_2.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
shm_IPv4v6_30m_131068_1;IPv4v6;131068;254;50000;30000000;300;3;30;;8806933030;103658581;1:34.09;24848632;10849017;78809948;;99,95631067;97,85481144;-1;shm;'IPv4v6/shm/shm_IPv4v6_30m_131068_1.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
shm_IPv4v6_30m_131068_2;IPv4v6;131068;254;50000;30000000;300;3;30;;8801887210;105829368;1:34.64;25131684;11161921;80697683;;99,95631067;97,79874678;-1;shm;'IPv4v6/shm/shm_IPv4v6_30m_131068_2.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
sock_IPv4v6_100k_131068_1;IPv4v6;131068;254;50000;100000;300;3;30;;26443004;18556998;1:40.99;18529699;3538836;27299;;86,8932;88,14334667;0;sock;'IPv4v6/sock/sock_IPv4v6_100k_131068_1.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
sock_IPv4v6_100k_131068_2;IPv4v6;131068;254;50000;100000;300;3;30;;26443205;18556797;1:41.09;18529800;3538836;26997;;86,8932;88,14401667;0;sock;'IPv4v6/sock/sock_IPv4v6_100k_131068_2.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
sock_IPv4v6_1m_131068_1;IPv4v6;131068;254;50000;1000000;300;3;30;;294531968;20468034;1:08.11;18899990;3989908;1568044;;98,68932;98,17732267;0;sock;'IPv4v6/sock/sock_IPv4v6_1m_131068_1.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
sock_IPv4v6_1m_131068_2;IPv4v6;131068;254;50000;1000000;300;3;30;;294717988;20282014;1:08.11;18889092;3972181;1392922;;98,68932;98,23932933;0;sock;'IPv4v6/sock/sock_IPv4v6_1m_131068_2.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
sock_IPv4v6_10m_131068_1;IPv4v6;131068;254;50000;10000000;300;3;30;;2938159356;73553002;2:14.83;18969711;4620883;54583291;;99,868932;97,9386452;0;sock;'IPv4v6/sock/sock_IPv4v6_10m_131068_1.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
sock_IPv4v6_10m_131068_2;IPv4v6;131068;254;50000;10000000;300;3;30;;2946457429;66298001;2:12.59;19069992;4664225;47228009;;99,868932;98,21524763;0;sock;'IPv4v6/sock/sock_IPv4v6_10m_131068_2.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
sock_IPv4v6_20m_131068_1;IPv4v6;131068;254;50000;20000000;300;3;30;;5829866705;146584990;3:23.33;18661143;5003621;127923847;;99,934466;97,16444508;0;sock;'IPv4v6/sock/sock_IPv4v6_20m_131068_1.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
sock_IPv4v6_20m_131068_2;IPv4v6;131068;254;50000;20000000;300;3;30;;5839679857;137210969;3:25.97;18917594;5259332;118293375;;99,934466;97,32799762;0;sock;'IPv4v6/sock/sock_IPv4v6_20m_131068_2.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
sock_IPv4v6_30m_131068_1;IPv4v6;131068;254;50000;30000000;300;3;30;;8627539942;208953166;5:54.97;18263874;6084025;190689292;;99,95631067;95,86155491;0;sock;'IPv4v6/sock/sock_IPv4v6_30m_131068_1.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
sock_IPv4v6_30m_131068_2;IPv4v6;131068;254;50000;30000000;300;3;30;;8630313293;212805775;5:53.34;18001986;5984904;194803789;;99,95631067;95,89236992;0;sock;'IPv4v6/sock/sock_IPv4v6_30m_131068_2.csv' : Params('IPv4v6', '131068 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
file_IPv4_100k_131068_1;IPv4;131068;254;50000;100000;300;3;30;;25988218;19011783;0:08.34;18161796;3538836;849987;;86,8932;86,62739333;0;file;'IPv4/file/file_IPv4_100k_131068_1.csv' : Params('IPv4', '131068 clients', '100000 PPS'),
file_IPv4_100k_131068_2;IPv4;131068;254;50000;100000;300;3;30;;25949377;19050624;0:08.38;18150414;3538836;900210;;86,8932;86,49792333;0;file;'IPv4/file/file_IPv4_100k_131068_2.csv' : Params('IPv4', '131068 clients', '100000 PPS'),
